"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка ответов на вопросы","984","test_question_answer[3]","tests","2026-07-25","passed","2026-07-25","TestQuestions","test_questions","",""
"Проверка ответов на вопросы","1049","test_question_answer[4]","tests","2026-07-25","passed","2026-07-25","TestQuestions","test_questions","",""
"Позитивный сценарий заказа","5874","test_positive_order[bottom-order_data0]","tests","2026-07-25","passed","2026-07-25","TestOrder","test_order","",""
"Клик на логотип Яндекса → открывается Дзен в новой вкладке","1613","test_yandex_logo_opens_dzen","tests","2026-07-25","passed","2026-07-25","TestLogo","test_logo","",""
"Проверка ответов на вопросы","1504","test_question_answer[2]","tests","2026-07-25","passed","2026-07-25","TestQuestions","test_questions","",""
"Проверка ответов на вопросы","1226","test_question_answer[0]","tests","2026-07-25","passed","2026-07-25","TestQuestions","test_questions","",""
"Позитивный сценарий заказа","5854","test_positive_order[top-order_data1]","tests","2026-07-25","passed","2026-07-25","TestOrder","test_order","",""
"Проверка ответов на вопросы","1198","test_question_answer[5]","tests","2026-07-25","passed","2026-07-25","TestQuestions","test_questions","",""
"Проверка ответов на вопросы","1083","test_question_answer[6]","tests","2026-07-25","passed","2026-07-25","TestQuestions","test_questions","",""
"Позитивный сценарий заказа","6660","test_positive_order[top-order_data0]","tests","2026-07-25","passed","2026-07-25","TestOrder","test_order","",""
"Клик на логотип Самоката → главная страница","558","test_samokat_logo_redirects_to_home","tests","2026-07-25","passed","2026-07-25","TestLogo","test_logo","",""
"Проверка ответов на вопросы","1034","test_question_answer[1]","tests","2026-07-25","passed","2026-07-25","TestQuestions","test_questions","",""
"Проверка ответов на вопросы","1206","test_question_answer[7]","tests","2026-07-25","passed","2026-07-25","TestQuestions","test_questions","",""
"Позитивный сценарий заказа","5605","test_positive_order[bottom-order_data1]","tests","2026-07-25","passed","2026-07-25","TestOrder","test_order","",""
